record,name,record_kind,group,tier,line,side1_code,side2_code,action_category,ai_dispatch_side1,ai_dispatch_side2,native_levels,movement,kill_reward,lv1_experience,lv1_attack,lv1_defense,lv1_max_life,lv2_experience,lv2_attack,lv2_defense,lv2_max_life,lv3_experience,lv3_attack,lv3_defense,lv3_max_life,post3_experience_step,post3_attack_step,post3_defense_step,post3_max_life_step,post3_growth_table,promotion_eligible,promotion_trigger_experience,promotion_from,promotion_to,shooting_min_range,shooting_max_range,shooting_damage,shooting_experience,technique_tier1,technique_tier2,technique_tier3,ordinary_hit_status,class_traits,movement_profile,terrain_defense_profile,movement_rules,terrain_defense_percents
0,士兵,ordinary_catalog,T1,1,基礎,0A,0A,ordinary,ordinary,ordinary,1|2|3,4,10,0,39,21,160,100,42,24,170,200,45,27,180,100,1,0,10,default,yes,300,,騎兵|戰士|弓兵|修女,,,,,,,,,,0,0,99|2|1|3|4|5|2|99|3|4|1|4|99|1|2|3|1|99|1|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
1,魔劍戰士,ordinary_catalog,T4,4,戰士線,1G,1G,ordinary,ordinary,ordinary,10|11|12,9,40,0,90,48,380,560,100,51,410,1120,110,54,440,560,6,0,15,class_specific,no,,神劍戰士,,,,,,,,,防禦下降,命中降防,1,0,99|2|1|3|4|5|2|99|3|4|1|4|99|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
2,叢林戰士,ordinary_catalog,T4,4,戰士線,0H,0H,ordinary,ordinary,ordinary,10|11|12,8,40,0,78,64,450,570,81,70,480,1140,84,76,510,570,2,0,30,class_specific,no,,鋼甲戰士,,,,,,,,,施毒,命中施毒,2,1,99|2|1|1|4|5|2|99|3|4|1|4|99|1|2|3|1|99|2|2|2|1|1,99|10|5|40|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
3,魔祭師,ordinary_catalog,T4,4,修女線,0K,0K,technique,technique,technique,10|11|12,8,45,0,53,38,305,580,54,39,325,1160,55,40,345,580,0,0,10,class_specific,no,,祭司,,,,,,初級炎暴1F、初級回復1I、防禦下降SD,初級炎暴1F、初級落雷1L、初級回復1I、防禦下降SD,中級炎暴2F、初級落雷1L、初級回復1I、防禦下降SD、破邪TR,,,3,0,99|2|1|3|4|5|2|98|3|4|1|4|98|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
4,祈導師,ordinary_catalog,T4,4,修女線,0J,0J,technique,technique,technique,10|11|12,8,45,0,53,37,320,590,54,38,340,1180,55,39,360,570,0,0,12,class_specific,no,,僧侶,,,,,,初級治療1H、初級回復1I、防禦提昇AD,初級治療1H、中級回復2I、防禦提昇AD,中級治療2H、高級回復3I、防禦提昇AD、祈禱OJ,,,3,0,99|2|1|3|4|5|2|98|3|4|1|4|98|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
5,咒術師,ordinary_catalog,T4,4,修女線,1K,1K,technique,technique,technique,10|11|12,8,45,0,53,38,305,580,54,39,325,1160,55,40,345,580,0,0,10,class_specific,no,,祭司,,,,,,初級治療1H、攻擊下降SA、混亂LA,初級治療1H、攻擊下降SA、混亂LA、施毒IP,初級治療1H、攻擊下降SA、混亂LA、施毒IP、禁咒SN,,,3,0,99|2|1|3|4|5|2|98|3|4|1|4|98|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
6,魔術士,ordinary_catalog,T3,3,修女線,2D,2D,technique,technique,technique,7|8|9,6,35,0,50,33,250,350,51,34,260,700,52,35,270,100,1,0,10,default,yes,800,修女,邪法師|魔法師|巫師,,,,,初級炎暴1F、初級落雷1L、初級冰雪1C,初級炎暴1F、初級落雷1L、初級冰雪1C,初級炎暴1F、初級落雷1L、初級冰雪1C,,,3,0,99|2|1|3|4|5|2|98|3|4|1|4|98|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
7,巨斧戰士,ordinary_catalog,T4,4,戰士線,0G,0G,ordinary,ordinary,ordinary,10|11|12,8,40,0,96,46,380,580,108,47,400,1160,120,48,420,580,8,0,15,class_specific,no,,神劍戰士,,,,,,,,,,攻擊無反擊,1,0,99|2|1|3|4|5|2|99|3|4|1|4|99|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
8,半龍戰士,ordinary_catalog,非轉職,,,1N,1N,technique,ordinary,ordinary,8|9|10,7,35,0,66,36,300,380,72,39,320,760,78,42,340,380,2,0,12,class_specific,no,,,,,,,,傳送（無分層菜單）,同左,同左,,,4,2,99|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|99|1|1|1|1|1,99|10|5|15|20|25|5|10|5|5|5|20|10|10|5|15|5|10|5|10|5|5|1
9,魔鎧戰士,ordinary_catalog,T4,4,戰士線,1H,1H,ordinary,ordinary,ordinary,10|11|12,8,40,0,76,60,450,590,78,72,465,1180,80,84,480,590,1,0,25,class_specific,no,,鋼甲戰士,,,,,,,,,,殘血減傷,1,0,99|2|1|3|4|5|2|99|3|4|1|4|99|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
10,魔導師,ordinary_catalog,T4,4,修女線,1J,1J,technique,technique,technique,10|11|12,8,45,0,53,37,320,590,54,38,340,1180,55,39,360,570,0,0,12,class_specific,no,,僧侶,,,,,,初級治療1H、初級回復1I、攻擊提昇AA,中級治療2H、初級回復1I、攻擊提昇AA,高級治療3H、中級回復2I、攻擊提昇AA、防魔FM,,,3,0,99|2|1|3|4|5|2|98|3|4|1|4|98|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
11,邪法師,ordinary_catalog,T4,4,修女線,0L,0L,technique,technique,technique,10|11|12,8,45,0,53,36,290,600,54,37,310,1200,55,38,330,600,0,0,8,class_specific,no,,魔術士,,,,,,中級炎暴2F,高級炎暴3F,究級炎暴4F,,,3,0,99|2|1|3|4|5|2|98|3|4|1|4|98|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
12,魔弓兵,ordinary_catalog,T3,3,弓兵線,1I,1I,shooting,shooting,shooting,7|8|9,8,40,0,52,38,270,480,53,40,290,960,54,42,310,480,0,0,18,class_specific,no,,弓兵,,2,6,"roll 50..69; selected target receives 2*floor(roll/2)=50..68, while other eligible occupied line cells receive floor(roll/2)=25..34",kill reward + 26..30 (3V handler 0000:CCA4 returns kill + randomBelow(5) + 13; 0000:72DC adds a second 13),,,,,,5,0,99|2|1|3|4|5|2|99|3|4|1|4|98|1|2|3|1|99|2|2|2|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
13,陸戰騎士,ordinary_catalog,T3,3,騎兵線,0B,0B,ordinary,ordinary,ordinary,7|8|9,10,30,0,66,40,300,370,72,43,340,740,78,46,380,100,1,0,10,default,yes,840,騎兵,迅龍騎士|獸騎士|獸骨騎士|巨龍騎士,,,,,,,,,,6,0,99|1|1|3|3|5|2|99|3|4|1|99|99|1|2|3|1|99|2|2|1|1|1,99|10|5|20|30|40|10|15|10|10|5|40|15|15|10|20|5|15|10|15|10|10|1
14,妖龍騎士,ordinary_catalog,T4,4,騎兵線,1F,1F,ordinary,ordinary,ordinary,10|11|12,9,40,0,87,45,375,540,93,48,405,1080,99,51,435,540,3,0,20,class_specific,no,,飛馬戰士,,,,,,,,,,命中驅散增益,4,2,99|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|1|99|1|1|1|1|1,99|10|5|15|20|25|5|10|5|5|5|20|10|10|5|15|5|10|5|10|5|5|1
